filename,snr,siib_score_gaussian
ALL_049_F_ENG_ENG_HT1_S036,4,50.68975987062263
ALL_049_F_ENG_ENG_HT1_S036,n4,22.407634961644423
ALL_049_F_ENG_ENG_HT1_S037,0,34.68267450325137
ALL_049_F_ENG_ENG_HT1_S037,2,41.384245052146426
ALL_049_F_ENG_ENG_HT1_S037,6,58.23082713870583
ALL_049_F_ENG_ENG_HT1_S037,n4,23.70350799927613
ALL_049_F_ENG_ENG_HT1_S038,0,39.329029011556266
ALL_049_F_ENG_ENG_HT1_S038,4,59.200729519906254
ALL_049_F_ENG_ENG_HT1_S037,4,49.16329622389322
ALL_049_F_ENG_ENG_HT1_S037,n2,28.8501530566342
ALL_049_F_ENG_ENG_HT1_S037,8,68.77632545722159
ALL_049_F_ENG_ENG_HT1_S038,2,48.42236814996381
ALL_049_F_ENG_ENG_HT1_S038,6,71.4291873150936
ALL_049_F_ENG_ENG_HT1_S038,8,84.59113513019972
ALL_049_F_ENG_ENG_HT1_S038,n2,31.828889681973187
ALL_049_F_ENG_ENG_HT1_S039,0,31.470091951380965
ALL_049_F_ENG_ENG_HT1_S038,n4,25.742691636531838
ALL_049_F_ENG_ENG_HT1_S039,2,39.95234807047959
ALL_049_F_ENG_ENG_HT1_S039,4,49.55874820045248
ALL_049_F_ENG_ENG_HT1_S039,6,60.510374406880615
ALL_049_F_ENG_ENG_HT1_S039,8,73.00434269163735
ALL_049_F_ENG_ENG_HT1_S039,n2,24.05644952088098
ALL_049_F_ENG_ENG_HT1_S040,0,47.096482540346734
ALL_049_F_ENG_ENG_HT1_S039,n4,17.87703348686174
ALL_049_F_ENG_ENG_HT1_S040,2,57.73094757073015
ALL_049_F_ENG_ENG_HT1_S040,4,69.49898866254298
ALL_049_F_ENG_ENG_HT1_S040,6,82.45424476154051
ALL_049_F_ENG_ENG_HT1_S040,8,96.78614351496856
ALL_049_F_ENG_ENG_HT1_S040,n2,37.63886131684386
ALL_049_F_ENG_ENG_HT1_S040,n4,29.479860075356573
ALL_049_F_ENG_ENG_HT1_S041,0,47.360554523000644
ALL_049_F_ENG_ENG_HT1_S041,4,68.34670440527799
ALL_049_F_ENG_ENG_HT1_S041,6,80.79255092163737
ALL_049_F_ENG_ENG_HT1_S041,2,57.165052339041296
ALL_049_F_ENG_ENG_HT1_S041,8,94.46679678585213
ALL_049_F_ENG_ENG_HT1_S041,n2,38.83401663305533
ALL_049_F_ENG_ENG_HT1_S041,n4,31.417954217619286
ALL_049_F_ENG_ENG_HT1_S042,2,54.46709123216638
ALL_049_F_ENG_ENG_HT1_S042,0,47.07908757901803
ALL_049_F_ENG_ENG_HT1_S042,8,84.91063236794497
ALL_049_F_ENG_ENG_HT1_S042,6,73.19655235944478
ALL_049_F_ENG_ENG_HT1_S042,4,63.082517017746284
ALL_049_F_ENG_ENG_HT1_S042,n2,40.66533688408671
ALL_049_F_ENG_ENG_HT1_S043,2,45.84949724751807
ALL_049_F_ENG_ENG_HT1_S043,0,38.96875127980021
ALL_049_F_ENG_ENG_HT1_S043,4,53.6639970282109
ALL_049_F_ENG_ENG_HT1_S042,n4,35.130654961580504
